,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
8,GSM1,GSM1,Both,1.023920932697722,1.036010133591493,1.7451958238917331,0.08096257469187851,2.010159798672725,0.044414278730105186,0.10201404645821036,23128,12622,No
472,GTS1_r,GTS1,Reverse,1.0237852062102626,1.0166004759904248,1.4643407718629686,0.14312728193739224,0.7114181619801707,0.4768251476584977,0.5978106328852807,7761,27989,No
241,SKN7_f,SKN7,Forward,1.0234003405155698,0.9989339138114913,1.0565253787971183,0.29079200306832403,0.9759722725387664,0.32907820496841456,0.46402394369646943,3288,32462,No
549,TYE7_r,TYE7,Reverse,1.0233406454761276,1.0304577604104186,0.9304580940228493,0.35222536220387624,1.0737099586612442,0.28295269655324706,0.418030617018365,2120,33630,No
377,SFL1_f,SFL1,Forward,1.022839821146515,1.0239538596483295,0.7826317170540487,0.4339440977762161,0.33160378806744567,0.7401884588267095,0.8227425591495372,1656,34094,No
13,PDR8,PDR8,Both,1.020755889139326,1.024950346344533,1.4268188711153549,0.15364981851236995,1.795510850638727,0.072572345537529,0.1524019256288109,9762,25988,No
106,ARG80,ARG80,Both,1.0207143522023507,0.979617791469775,0.7741887790670678,0.438876317209391,-0.1567473720180014,0.8754439510357594,0.9225108301237035,2819,32931,No
346,NRG1_f,NRG1,Forward,1.0206677737686778,1.014469805505842,0.5305110790013763,0.5958437828740326,0.3505765843689249,0.7259060258945202,0.81456630386637,1292,34458,No
112,INO2,INO2,Both,1.020662661773788,1.026985242531472,0.9346609887842916,0.3500078960408738,0.6496745552999593,0.5159024631298075,0.6372912779838799,4134,31616,No
386,TOD6_f,TOD6,Forward,1.0206617367594626,1.0113993855713417,0.8188045351970209,0.4129752036153529,0.5914405214321032,0.5542252965330442,0.6719267512606804,2183,33567,No
56,HAP4,HAP4,Both,1.0201049867838137,1.0307220443901575,0.9575334552406586,0.3383405566826433,1.2862416502931708,0.1983587393360534,0.3186746959825121,4362,31388,No
250,DAL80_f,DAL80,Forward,1.0178421480372184,1.0339793605076093,0.9406351576290096,0.3469305020946659,1.786369005720056,0.07403953059366172,0.15438029783359253,4420,31330,No
28,YNR063W,YNR063W,Both,1.0175126485942318,1.0144660895801414,1.0232266628454025,0.3062276535098,0.6620004436188142,0.5079709373839298,0.6288145498563174,6331,29419,No
514,YAP3_r,YAP3,Reverse,1.0172051426859228,1.0312742862309219,1.3075592517939032,0.1910317795870535,1.094804731918463,0.27360219293621724,0.40935900622517996,19977,15773,No
309,MCM1_f,MCM1,Forward,1.0137230514125588,0.992687762710943,0.1691737960672753,0.8658645251632501,0.6243628159312274,0.5323893392340273,0.6535384790597245,166,35584,No
48,XBP1,XBP1,Both,1.01355834003717,0.9634633905695921,0.6064293656780697,0.5442557535144756,-0.8280405768598514,0.40764752050316255,0.5398575271528369,4367,31383,No
217,STP4_f,STP4,Forward,1.0123898806563956,0.9776168903565153,0.6699083089711619,0.5029360700916687,-0.7594648295735812,0.4475745452698737,0.5696403303434757,5768,29982,No
151,PHD1,PHD1,Both,1.0120380346664142,1.0201269261086396,0.774803637658349,0.43846732452416837,0.9138546877518305,0.3607932059231401,0.4956691707542205,9921,25829,No
