,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
358,YML081W_f,YML081W,Forward,0.9936083177176225,0.9937590949840557,-0.67796111374588,0.4978030031563442,0.012631900656802563,0.9899214695230296,0.9984113620575324,12356,33712,No
142,GCN4,GCN4,Both,0.9933476877348408,0.9863726553208754,-0.44629022733478896,0.6554078191947683,-0.07396574284422744,0.9410376438163336,0.9673603751118954,3939,42129,No
27,YLR278C,YLR278C,Both,0.9926413602891448,0.9797312152303003,-0.8381766502889837,0.40193630482137055,-2.7306064626994564,0.006321791080281278,0.012600722560018277,19857,26211,Yes
448,HAP4_r,HAP4,Reverse,0.99246011512553,0.9804968630895268,-0.47775162038361024,0.6328467702467337,-0.5398314196272114,0.58931329681719,0.6754702115565453,4458,41610,No
44,RTG1,RTG1,Both,0.9923201824508131,1.0280277423804898,-0.18915513287458283,0.8500488686691412,0.34461693561651546,0.7303823721140761,0.7997482957226755,484,45584,No
534,GCN4_r,GCN4,Reverse,0.9914778414414839,0.9841467219251435,-0.5605018641924179,0.5751650263893355,-0.07955223331602525,0.9365933870382734,0.9644779537276791,3745,42323,No
203,GIS1_f,GIS1,Forward,0.9914379681441781,0.9761365585197918,-0.5586975654895932,0.5763992715445152,-3.1700528767842396e-05,0.9999747066375311,1.0,3351,42717,No
308,INO2_f,INO2,Forward,0.9912167428606985,1.014499916584805,-0.5463067219506276,0.5848901177800074,0.6353433835213588,0.5252044846482016,0.6176404739462851,2959,43109,No
190,TOD6,TOD6,Both,0.991080704761861,0.9988355508918977,-0.7389707233981607,0.4599440514014037,-0.28635052524141075,0.7746096638913266,0.8341950226521978,6514,39554,No
334,CAD1_f,CAD1,Forward,0.9909428032157235,0.9704040269311955,-0.2568401697979431,0.7973789539952314,-0.5359824061499776,0.5919707099974469,0.6771960651332661,668,45400,No
511,RAP1_r,RAP1,Reverse,0.9907040819501295,0.934243972546581,-0.4482262444590598,0.654023097447727,-2.81643588541585,0.004855973418168448,0.009948823588442674,2668,43400,Yes
370,NDT80_f,NDT80,Forward,0.9903499556532751,0.9738665443288721,-0.279303926851859,0.7800922854551023,-0.5479130193645487,0.5837516287484094,0.6717142029433751,694,45374,No
316,SMP1_f,SMP1,Forward,0.989843786432243,1.0045223743004705,-0.9941172432076036,0.3201807553600823,0.04427723261905313,0.9646834196106867,0.9830742646985854,9692,36376,No
383,TBF1_f,TBF1,Forward,0.9896315590410321,1.0054607013480767,-0.43451125813002517,0.6639840391181305,1.1859993297800298,0.23562256420277272,0.31776621043860176,1310,44758,No
472,GTS1_r,GTS1,Reverse,0.9894682536926395,0.9926372346134873,-1.0286927990339305,0.3036392378360305,-0.12972608479906073,0.8967831442667651,0.9299973347951638,9912,36156,No
45,SKN7,SKN7,Both,0.988506790007619,0.9694948639208584,-1.0007129428344073,0.3169884244774667,-2.023094487340469,0.04306340680379699,0.07014205872751421,7354,38714,No
165,DOT6,DOT6,Both,0.9882819221592541,1.005950240938818,-1.09673197679951,0.27277763929179494,-0.4211892608359619,0.6736168856568782,0.7487461791422388,8873,37195,No
531,CIN5_r,CIN5,Reverse,0.9873481885024399,0.9862615469397162,-1.0067787913069195,0.3140690507743837,-0.8028783563033591,0.4220450470393662,0.5127324125188993,6511,39557,No
261,STB1_f,STB1,Forward,0.9873439142449185,0.9871766963256737,-0.5425443774069516,0.587504245284731,-1.4457644178135605,0.14824328939396253,0.21364474059718128,1853,44215,No
90,RFX1,RFX1,Both,0.9871759237536054,0.9863144807824574,-0.25043926469759303,0.80245286517753,0.15602369370220226,0.8760143450568452,0.9132915512294769,248,45820,No
104,YHP1,YHP1,Both,0.986566547523239,0.9891648260742829,-0.8052364403386223,0.4207229473777351,-0.8705476811556477,0.3840011738656923,0.4763558865675677,4155,41913,No
119,RAP1,RAP1,Both,0.986492173606659,0.94306110052112,-0.7026352349301572,0.4823322140190256,-2.8392601793646755,0.004521827079988148,0.0093951742863358,2985,43083,Yes
506,MET28_r,MET28,Reverse,0.9848114484237132,0.9662682155371113,-0.4464813239399808,0.655366770551352,-0.8215108739954453,0.4113553327795956,0.5049622874204639,799,45269,No
494,THI2_r,THI2,Reverse,0.9847665848623218,0.8995568172972704,-0.20633204027656712,0.8366564057722339,-1.1195173075327312,0.2629195114324233,0.3497662278784274,335,45733,No
455,SOK2_r,SOK2,Reverse,0.9846920905442991,0.9971134898307576,-1.5046231094437965,0.1324402135269182,-0.8753147340724365,0.38140267933101135,0.4741327176461621,9867,36201,No
127,HSF1,HSF1,Both,0.9841731844877702,0.9663263290985938,-0.41700344430266895,0.6767995030283992,-0.8928771742680743,0.3719229519877174,0.46529935269952727,706,45362,No
